id,type,name__fr,name__et,name__en,start_date
Q2420663,constituency,Troisième circonscription législative d'Estonie,Valimisringkond nr 3,Electoral District 3 (Mustamäe and Nõmme),
Q2972997,constituency,Cinquième circonscription législative d'Estonie,Valimisringkond nr 5,"Electoral District 5 (Hiiu-, Lääne- and Saaremaa)",
Q3025278,constituency,Deuxième circonscription législative d'Estonie,Valimisringkond nr 2,"Electoral District 2 (Kesklinn, Lasnamäe and Pirita)",
Q3032626,constituency,Dixième circonscription législative d'Estonie,Valimisringkond nr 10,Electoral District 10 (Tartu),
Q3038253,constituency,Douzième circonscription législative d'Estonie,Valimisringkond nr 12,Electoral District 12 (Pärnumaa),
Q3142965,constituency,Huitième circonscription législative d'Estonie,Valimisringkond nr 8,Electoral District 8 (Järva- and Viljandimaa),
Q3338787,constituency,Neuvième circonscription législative d'Estonie,Valimisringkond nr 9,Electoral District 9 (Jõgeva- and Tartumaa),
Q3352911,constituency,Onzième circonscription législative d'Estonie,Valimisringkond nr 11,"Electoral District 11 (Võru-, Valga- and Põlvamaa)",
Q3402163,constituency,Première circonscription législative d'Estonie,Valimisringkond nr 1,"Electoral District 1 (Haabersti, Põhja-Tallinn and Kristiine)",
Q3413626,constituency,Quatrième circonscription législative d'Estonie,Valimisringkond nr 4,Electoral District 4 (Harju- and Raplamaa),
Q3479058,constituency,Septième circonscription législative d'Estonie,Valimisringkond nr 7,Electoral District 7 (Ida-Virumaa),
Q3485728,constituency,Sixième circonscription législative d'Estonie,Valimisringkond nr 6,Electoral District 6 (Lääne-Virumaa),
Q5401432,constituency of the European Parliament,,,Estonia,2004
