name,wikiname,party,area,term,id
Denzil Douglas,Denzil Douglas,Saint Kitts and Nevis Labour Party,St Christopher #6,2015,denzil_douglas
Eugene Hamilton,Eugene Hamilton (politician),People's Action Movement,St Christopher #8,2015,eugene_hamilton
Ian Liburd,"",People's Action Movement,St Christopher #1,2015,ian_liburd
Konris Maynard,Konris Maynard,Saint Kitts and Nevis Labour Party,St Christopher #3,2015,konris_maynard
Lindsay Grant,Lindsay Grant,People's Action Movement,St Christopher #4,2015,lindsay_grant
Marcella Liburd,"",Saint Kitts and Nevis Labour Party,St Christopher #2,2015,marcella_liburd
Mark Brantley,"",Concerned Citizens' Movement,Nevis #9,2015,mark_brantley
Patrice Nisbett,Patrice Nisbett,Nevis Reformation Party,Nevis #11,2015,patrice_nisbett
Shawn Richards,Shawn Richards,People's Action Movement,St Christopher #5,2015,shawn_richards
Timothy Harris,Timothy Harris,People's Labour Party,St Christopher #7,2015,timothy_harris
Vance Amory,Vance Amory,Concerned Citizens' Movement,Nevis #10,2015,vance_amory
