uuid,female,male,other,skip,total
0c38cc7f-50c1-455f-bc97-4a520aa4cfe0,0,0,0,1,1
2732373e-58a5-4d87-a306-684b0755e800,0,0,0,1,1
39fd6ba9-843a-472d-bfd4-9ae6f7ad111f,0,0,0,1,1
3ab02c3e-94a5-4136-89c0-9a47f250dddd,0,0,0,1,1
44404178-9134-42b6-b8c7-4ab1c7b0365a,0,0,0,1,1
60fcfb7e-4094-433f-bc3c-e8f43e466506,0,0,0,1,1
81b516ba-5737-4f3b-ae09-2bfb6e84db9c,0,0,0,1,1
a0e2d3b6-8a0c-474b-9933-43db2655d40b,0,0,0,1,1
a319bc2c-deff-437c-93f1-7bd8c4b83b5f,0,0,0,1,1
a3704ed3-9bc0-4d8c-94d8-2ca5a5533415,0,0,0,1,1
a3910287-1db9-40e5-8590-ad31b058e705,0,0,0,1,1
a569ca0c-46ef-4d6b-9986-dc7271814043,0,0,0,1,1
b28c3f02-9a92-4e5a-bb27-0a411b7e33be,0,0,0,1,1
bb46697a-6789-46d2-a793-6ecec6282ea4,0,0,0,1,1
c03e2cb9-52f9-491f-aad6-5fc0d551a4d4,0,0,0,1,1
